Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00082408,-0.0019325,-0.00012953,0,0,0,0.1202,5.2649E-05,-6.1394E-08,2.5669E-10,0.00040441,3.7425E-11,0.00036598,0,0,0,0,0,0,package://spot_micro_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/base_link.STL,,Body^main-1/Belly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left,0.0098399,-0.035165,-0.074554,0,0,0,0.5276,0.0020559,2.7802E-05,0.00014013,0.0017146,-3.7604E-05,0.00081558,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left.STL,0,0,0,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left.STL,,Body^main-1/EMax ES08MAII Servo-Case-3,Origin_front_left_joint,,front_left_joint,fixed,0.066713,0.03056,0.0094108,0,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
front_left_thigh,1.1153E-08,-0.031603,0.0092036,0,0,0,0.022922,1.5572E-05,1.308E-11,-2.1437E-12,1.627E-06,3.9736E-07,1.5478E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_thigh.STL,,FrontLeftThigh^main-1/Thigh-1,Origin_front_left_shoulder_joint,,front_left_shoulder_joint,revolute,0,0.013411,0,1.5708,0.73804,3.1416,front_left,0,0,0,0,0,0,0,,,,,,,,
front_left_calf,0.033216,0,0.0026355,0,0,0,0.0048196,4.1807E-08,-1.4649E-21,3.0842E-08,4.0529E-06,-6.4519E-24,4.0694E-06,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_calf.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_calf.STL,,FrontLeftCalf^main-1/Shin-1,Origin_front_left_knee_joint,,front_left_knee_joint,revolute,0,-0.0815,0.01025,0,0,3.0986,front_left_thigh,0,0,0,0,0,0,0,,,,,,,,
front_left_foot,0.033216,0,0.0026355,0,0,0,0.0048196,4.1807E-08,-1.4649E-21,3.0842E-08,4.0529E-06,-8.1063E-24,4.0694E-06,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_foot.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_foot.STL,,FrontLeftCalf^main-1/Shin-1,Origin_front_left_foot_joint,,front_left_foot_joint,fixed,0.0825,0.0045,0,0,0,0,front_left_calf,0,0,0,,,,,,,,,,,,
front_right,-0.0098399,-0.025695,-0.074554,0,0,0,0.5276,0.0020559,2.7802E-05,-0.00014013,0.0017146,3.7604E-05,0.00081558,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right.STL,0,0,0,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right.STL,,Body^main-1/EMax ES08MAII Servo-Case-2,Origin_front_right_joint,Axis_front_right_joint,front_right_joint,fixed,0.066713352258944,-0.0303004996531292,0.00941083516771894,0,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
front_right_thigh,1.102E-08,-0.031603,0.0092036,0,0,0,0.022922,1.5572E-05,1.299E-11,-2.1489E-12,1.627E-06,3.9736E-07,1.5478E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_thigh.STL,,FrontRightThigh^main-1/Thigh-1,Origin_front_right_shoulder_joint,,front_right_shoulder_joint,revolute,0,0.013411,0,1.5708,-0.73995,3.1416,front_right,0,0,0,0,0,0,0,,,,,,,,
front_right_calf,0.033216,-1.0408E-17,0.0026355,0,0,0,0.0048196,4.1807E-08,-4.2683E-22,3.0842E-08,4.0529E-06,-6.9483E-23,4.0694E-06,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_calf.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_calf.STL,,FrontRightCalf^main-1/Shin-1,Origin_front_right_knee_joint,,front_right_knee_joint,revolute,0,-0.0815,0.01025,0,0,0.036854,front_right_thigh,0,0,0,0,0,0,0,,,,,,,,
front_right_foot,0.033216,-2.4286E-17,0.0026355,0,0,0,0.0048196,4.1807E-08,-7.8913E-22,3.0842E-08,4.0529E-06,-7.2792E-23,4.0694E-06,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_foot.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_foot.STL,,FrontRightCalf^main-1/Shin-1,Origin_front_right_foot_joint,,front_right_foot_joint,fixed,0.0825,-0.0045,0,0,0,0,front_right_calf,0,0,0,,,,,,,,,,,,
back_left,-0.00983991079994292,-0.0351645155542096,-0.0603637765831304,0,0,0,0.527599038136683,0.00205587025679296,-2.78017697851429E-05,0.000140125524164162,0.00171457425703914,3.76038768185095E-05,0.000815577186189188,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_left.STL,0,0,0,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_left.STL,,Body^main-1/EMax ES08MAII Servo-Case-4,Origin_back_left_joint,Axis_back_left_joint,back_left_joint,fixed,-0.0682047477410559,0.0305595003468727,0.00941083516771887,3.14159265358979,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
back_left_thigh,1.11620484521957E-08,-0.031602966790318,0.009203583306911,0,0,0,0.0229224082530612,1.55724920493925E-05,1.30867178502939E-11,-2.14331805792514E-12,1.626980980442E-06,3.97358803925911E-07,1.54775532334603E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_left_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_left_thigh.STL,,BackLeftThigh^main-1/Thigh-1,Origin_back_left_shoulder_joint,,back_left_shoulder_joint,revolute,0,0.013411,0,-1.5708,-0.73125,0,back_left,0,0,0,0,0,0,0,,,,,,,,
back_left_calf,0.0332157595947743,-6.93889390390723E-17,0.00263553758269552,0,0,0,0.00481963739684099,4.18065599214046E-08,3.46247260056036E-21,3.08424550600374E-08,4.05286937066263E-06,-1.35659316803397E-23,4.06944336741809E-06,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_left_calf.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_left_calf.STL,,BackLeftCalf^main-2/Shin-1,Origin_back_left_knee_joint,,back_left_knee_joint,revolute,0,-0.0815,0.01025,0,0,3.1052,back_left_thigh,0,0,0,0,0,0,0,,,,,,,,
back_left_foot,0.0332157595947743,-5.55111512312578E-17,0.00263553758269552,0,0,0,0.00481963739684099,4.18065599214041E-08,3.3913350678808E-21,3.08424550600375E-08,4.05286937066263E-06,-2.01833765807643E-23,4.06944336741809E-06,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_left_foot.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_left_foot.STL,,BackLeftCalf^main-2/Shin-1,Origin_back_left_foot_joint,,back_left_foot_joint,fixed,0.0825,0.0045,0,0,0,0,back_left_calf,0,0,0,,,,,,,,,,,,
back_right,0.00983991079994289,-0.0256954844457904,-0.0603637765831304,0,0,0,0.527599038136683,0.00205587025679296,-2.78017697851429E-05,-0.000140125524164162,0.00171457425703914,-3.76038768185095E-05,0.000815577186189188,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_right.STL,0,0,0,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_right.STL,,Body^main-1/EMax ES08MAII Servo-Case-1,Origin_back_right_joint,Axis_back_right_joint,back_right_joint,fixed,-0.0682047477410559,-0.0303004996531274,0.00941083516771885,3.14159265358979,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
back_right_thigh,1.10059232491522E-08,-0.0316029667389578,0.00920358331034415,0,0,0,0.02292240821336,1.55724920110539E-05,1.29803988550251E-11,-2.14940398520425E-12,1.62698097700527E-06,3.97358806581853E-07,1.54775531921418E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_right_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_right_thigh.STL,,BackRightThigh^main-1/Thigh-2,Origin_back_right_shoulder_joint,,back_right_shoulder_joint,revolute,0,0.013411,0,-1.5708,0.73101,0,back_right,0,0,0,0,0,0,0,,,,,,,,
back_right_calf,0.0332157595947743,-2.77555756156289E-17,0.00263553758269555,0,0,0,0.00481963739684099,4.18065599214047E-08,-8.15600083977285E-22,3.08424550600334E-08,4.05286937066263E-06,-4.96308367531817E-23,4.06944336741808E-06,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_right_calf.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/back_right_calf.STL,,BackRightCalf^main-1/Shin-1,Origin_back_right_knee_joint,,back_right_knee_joint,revolute,0,-0.0815,0.01025,0,0,0.0365,back_right_thigh,0,0,0,0,0,0,0,,,,,,,,
